condition,task_group,task_id,episode_ix,seed,success,sum_reward,max_reward,video_path,predicted_video_path,output_dir
visual_arrows,libero_spatial,0,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_0\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,1,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_1\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,3,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_3\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,4,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_4\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,5,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_5\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,7,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_7\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,8,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_8\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,9,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_9\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,2,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_2\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
visual_arrows,libero_spatial,6,0,1000,True,1.0,1.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_visual_ablation_2026_07_24_01_07_08\visual_arrows\videos\libero_spatial_6\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_01_07_08/visual_arrows
