format,task_group,task_id,episodes,successes,pc_success,avg_sum_reward,avg_max_reward,videos
triplet_human,libero_spatial,0,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,1,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,2,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,3,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,4,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,5,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,6,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,7,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,8,1,0,0.0000,0.000000,0.000000,1
triplet_human,libero_spatial,9,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,0,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,1,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,2,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,3,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,4,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,5,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,6,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,7,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,8,1,0,0.0000,0.000000,0.000000,1
triplet_published,libero_spatial,9,1,0,0.0000,0.000000,0.000000,1
